Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6237	6	479.5889	479.2474	0.9899852	0.5082625	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5964771	0.208767	0.9736829	0.6390448	0	1	0.1984127	
Ta	0.285934	0	0.6144044	0.4863492	0	1	1	
k	-1.560809	-2	0.01471932	2.874149	-2	2	4	
Topt	9.889263	0	11.40366	2.291387	0	20	20	
Popt	851.2659	300	1000	2000.854	300	1000	700	
Pb	1.176034	0.3998515	5	2.457578	0	5	4	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Ta	k	Topt	Popt	Pb
MR	0.4083783	-0.2072607	0.8557874	-1.208103	152.1343	0.1431031	
2007	nigra	low	nigra_low	0.09946053	322.9	11.09165	P. nigra	0.1616901	
2008	nigra	low	nigra_low	0.0596355	297.7	10.91769	P. nigra	0.1622312	
2009	nigra	low	nigra_low	0.1932361	458.8	12.02929	P. nigra	0.1612447	
2010	nigra	low	nigra_low	0.2550653	572.6	11.21354	P. nigra	0.2063371	
2011	nigra	low	nigra_low	0.237985	302.1	11.43551	P. nigra	0.1394461	
2012	nigra	low	nigra_low	0.07283805	288.3	11.72606	P. nigra	0.1266389	
2013	nigra	low	nigra_low	0.1092085	335.8	10.77581	P. nigra	0.1871701	
2014	nigra	low	nigra_low	0.06899374	270.5	11.70423	P. nigra	0.1207655	
2015	nigra	low	nigra_low	0.09069465	228.8	12.07968	P. nigra	0.0986111	
2016	nigra	low	nigra_low	0.04204381	323.4	11.67049	P. nigra	0.1392908	
2017	nigra	low	nigra_low	0.1004605	201.1	12.4234	P. nigra	0.08411796	
2018	nigra	low	nigra_low	0.0970911	452.6	10.83334	P. nigra	0.2163688	
2019	nigra	low	nigra_low	0.06027039	256.5	11.95002	P. nigra	0.1111331	
2020	nigra	low	nigra_low	0.1406959	322.7	12.1936	P. nigra	0.1294644	
2021	nigra	low	nigra_low	0.1143764	203.9	12.11509	P. nigra	0.08762752	
2001	nigra	medium	nigra_medium	0.07969127	358.8	11.77294	P. nigra	0.1465442	
2002	nigra	medium	nigra_medium	0.0690587	335.6	11.61888	P. nigra	0.1443064	
2003	nigra	medium	nigra_medium	0.09859162	351.5	11.17159	P. nigra	0.1667499	
2004	nigra	medium	nigra_medium	0.06142529	346.2	11.03588	P. nigra	0.1727735	
2005	nigra	medium	nigra_medium	0.01988913	144.3	11.13217	P. nigra	0.07174936	
2006	nigra	medium	nigra_medium	0.0460038	355.8	11.23782	P. nigra	0.1646713	
2007	nigra	medium	nigra_medium	0.03301357	320.7	10.76736	P. nigra	0.1819683	
2008	nigra	medium	nigra_medium	0.02011435	299.2	10.55713	P. nigra	0.1896511	
2009	nigra	medium	nigra_medium	0.09045893	459.5	11.71132	P. nigra	0.1690686	
2010	nigra	medium	nigra_medium	0.1403275	584.4	10.87116	P. nigra	0.2339295	
2011	nigra	medium	nigra_medium	0.1341438	311.1	11.06629	P. nigra	0.1588123	
2012	nigra	medium	nigra_medium	0.02887239	293.3	11.36616	P. nigra	0.1387618	
2013	nigra	medium	nigra_medium	0.04479617	332.7	10.40011	P. nigra	0.2201104	
2014	nigra	medium	nigra_medium	0.02434118	276.5	11.3142	P. nigra	0.1342952	
2015	nigra	medium	nigra_medium	0.05118988	233.4	11.72756	P. nigra	0.1055906	
2016	nigra	medium	nigra_medium	0.02165737	330.6	11.268	P. nigra	0.1555288	
2017	nigra	medium	nigra_medium	0.06356096	202	12.07103	P. nigra	0.08719866	
2001	nigra	high	nigra_high	0.3170893	360.9	11.36243	P. nigra	0.1604492	
2002	nigra	high	nigra_high	0.2377955	337.3	11.21471	P. nigra	0.1601601	
2003	nigra	high	nigra_high	0.3464311	358	10.70226	P. nigra	0.2012955	
2004	nigra	high	nigra_high	0.2816574	361.3	10.55819	P. nigra	0.215816	
2005	nigra	high	nigra_high	0.09565752	148.7	10.65748	P. nigra	0.08956332	
2006	nigra	high	nigra_high	0.1990407	358.1	10.74932	P. nigra	0.1973287	
2007	nigra	high	nigra_high	0.1211196	322	10.27977	P. nigra	0.2277769	
2008	nigra	high	nigra_high	0.1466144	306.6	10.04482	P. nigra	0.2454139	
2009	nigra	high	nigra_high	0.2626483	479.1	11.26267	P. nigra	0.19101	
2010	nigra	high	nigra_high	0.3644781	622.5	10.39393	P. nigra	0.2931571	
2011	nigra	high	nigra_high	0.283016	331.7	10.56176	P. nigra	0.2038109	
2012	nigra	high	nigra_high	0.1164069	303.2	10.91	P. nigra	0.1649692	
2013	nigra	high	nigra_high	0.2163242	331.8	9.910485	P. nigra	0.275672	
2014	nigra	high	nigra_high	0.1126222	289.8	10.81058	P. nigra	0.1657935	
2015	nigra	high	nigra_high	0.2184333	243.3	11.25379	P. nigra	0.1223996	
2016	nigra	high	nigra_high	0.1012387	347.1	10.75417	P. nigra	0.1930486	
2017	nigra	high	nigra_high	0.1816787	204.2	11.60485	P. nigra	0.09474156	
2018	nigra	high	nigra_high	0.1813105	458.2	9.91548	P. nigra	0.3300511	
2019	nigra	high	nigra_high	0.1076421	255.8	11.08597	P. nigra	0.1349239	
2020	nigra	high	nigra_high	0.2435312	319.6	11.4141	P. nigra	0.1460561	
2001	sylvestris	low	sylvestris_low	0.1752625	557	11.99493	P. sylvestris	0.1741951	
2002	sylvestris	low	sylvestris_low	0.121445	632.8	11.90282	P. sylvestris	0.1822872	
