year,npp,npp_qc,gpp,site_code,sp_elev,sp_code,elev_code,elev,Specie
2015,695.3000000000001,5,1432,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2015,694.3000000000001,7,1353.9,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2015,887.7,9,1417.8000000000002,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2015,841.9000000000001,9,1351.3000000000002,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2015,575.6,11,1057.4,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2016,599.9,9,979.3,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2016,163.5,22,267.6,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2016,423,11,628.9000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2016,649.6,11,1055.5,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2016,663.5,9,1160.1,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2016,681.7,9,1136.2,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2016,499.7000000000001,16,743.5,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2016,614.2,5,1042.2,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2016,754.4000000000001,11,1438.8000000000002,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2016,754.2,9,1337.6,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2016,922.9,20,1456.2,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2016,847,13,1354,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2016,539.7,17,965.6,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2017,645.2,3,1051.3,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2017,266.40000000000003,14,435.5,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2017,447.2000000000001,7,689.6,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2017,610.8000000000001,5,1029.9,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2017,655.4000000000001,14,1174.9,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2017,628.9000000000001,3,1100.7,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2017,498.9,3,761.2,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2017,570.2,7,981.9,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2017,685.5,5,1340.1,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2017,685.4000000000001,7,1298.5,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2017,903.9,11,1446.2,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2017,835.2,11,1351.2,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2017,583.9,22,1091.6,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2018,690.5,7,1142.5,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2018,295.90000000000003,0,479.4,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2018,602.9,7,894.4000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2018,715.3000000000001,14,1190.1,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2018,737.5,22,1321.1,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2018,739,14,1250.2,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2018,639.3000000000001,7,948.6,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2018,697,9,1165.5,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2018,780,18,1500.5,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2018,764,31,1457.7,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2018,959.6,7,1500.3000000000002,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2018,867.5,5,1384,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2018,641.1,22,1159.2,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2019,624.3000000000001,3,995.5,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2019,310.1,3,491.4,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2019,534.8000000000001,5,796.3000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2019,732.3000000000001,6,1221.1,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2019,772.3000000000001,5,1355.5,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2019,743.5,3,1274.6,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2019,620.1,4,923.3,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2019,689.7,7,1184.1,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2019,782.3000000000001,3,1507.6,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2019,767.2,3,1481.8000000000002,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2019,946.4,9,1480.8000000000002,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2019,901.8,7,1424.9,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2019,655.8000000000001,7,1163.7,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
