prec,modelo,type_value,value,name_modelo,type
137,mprecrat3,peffect,0.10155839732156499,Prec (Log-normal),univariate
137,mprecrat3,predicted,0.03286873753888754,Prec (Log-normal),univariate
138,mprecrat3,peffect,0.10326921845553004,Prec (Log-normal),univariate
138,mprecrat3,predicted,0.03342243405548607,Prec (Log-normal),univariate
139,mprecrat3,peffect,0.10498983486309799,Prec (Log-normal),univariate
139,mprecrat3,predicted,0.03397930075087498,Prec (Log-normal),univariate
140,mprecrat3,peffect,0.1067201044993147,Prec (Log-normal),univariate
140,mprecrat3,predicted,0.03453929165309688,Prec (Log-normal),univariate
141,mprecrat3,peffect,0.10845988589384167,Prec (Log-normal),univariate
141,mprecrat3,predicted,0.0351023609761651,Prec (Log-normal),univariate
142,mprecrat3,peffect,0.1102090381735229,Prec (Log-normal),univariate
142,mprecrat3,predicted,0.035668463127367336,Prec (Log-normal),univariate
143,mprecrat3,peffect,0.11196742108390277,Prec (Log-normal),univariate
143,mprecrat3,predicted,0.03623755271422978,Prec (Log-normal),univariate
144,mprecrat3,peffect,0.11373489500973163,Prec (Log-normal),univariate
144,mprecrat3,predicted,0.036809584551153615,Prec (Log-normal),univariate
145,mprecrat3,peffect,0.11551132099449095,Prec (Log-normal),univariate
145,mprecrat3,predicted,0.03738451366573423,Prec (Log-normal),univariate
146,mprecrat3,peffect,0.11729656075897157,Prec (Log-normal),univariate
146,mprecrat3,predicted,0.037962295304773935,Prec (Log-normal),univariate
147,mprecrat3,peffect,0.11909047671893606,Prec (Log-normal),univariate
147,mprecrat3,predicted,0.03854288493999826,Prec (Log-normal),univariate
148,mprecrat3,peffect,0.12089293200189491,Prec (Log-normal),univariate
148,mprecrat3,predicted,0.03912623827348549,Prec (Log-normal),univariate
149,mprecrat3,peffect,0.12270379046302719,Prec (Log-normal),univariate
149,mprecrat3,predicted,0.039712311242819286,Prec (Log-normal),univariate
150,mprecrat3,peffect,0.12452291670027375,Prec (Log-normal),univariate
150,mprecrat3,predicted,0.04030106002597347,Prec (Log-normal),univariate
151,mprecrat3,peffect,0.12635017606863125,Prec (Log-normal),univariate
151,mprecrat3,predicted,0.04089244104593826,Prec (Log-normal),univariate
152,mprecrat3,peffect,0.12818543469367302,Prec (Log-normal),univariate
152,mprecrat3,predicted,0.04148641097509614,Prec (Log-normal),univariate
153,mprecrat3,peffect,0.13002855948432385,Prec (Log-normal),univariate
153,mprecrat3,predicted,0.04208292673935638,Prec (Log-normal),univariate
154,mprecrat3,peffect,0.13187941814491363,Prec (Log-normal),univariate
154,mprecrat3,predicted,0.04268194552205615,Prec (Log-normal),univariate
155,mprecrat3,peffect,0.1337378791865344,Prec (Log-normal),univariate
155,mprecrat3,predicted,0.04328342476763607,Prec (Log-normal),univariate
156,mprecrat3,peffect,0.13560381193772403,Prec (Log-normal),univariate
156,mprecrat3,predicted,0.043887322185098,Prec (Log-normal),univariate
157,mprecrat3,peffect,0.13747708655450108,Prec (Log-normal),univariate
157,mprecrat3,predicted,0.04449359575125274,Prec (Log-normal),univariate
158,mprecrat3,peffect,0.13935757402977228,Prec (Log-normal),univariate
158,mprecrat3,predicted,0.045102203713764666,Prec (Log-normal),univariate
159,mprecrat3,peffect,0.14124514620213308,Prec (Log-normal),univariate
159,mprecrat3,predicted,0.045713104594000006,Prec (Log-normal),univariate
160,mprecrat3,peffect,0.14313967576408507,Prec (Log-normal),univariate
160,mprecrat3,predicted,0.04632625718968636,Prec (Log-normal),univariate
161,mprecrat3,peffect,0.145041036269688,Prec (Log-normal),univariate
161,mprecrat3,predicted,0.0469416205773892,Prec (Log-normal),univariate
162,mprecrat3,peffect,0.1469491021416676,Prec (Log-normal),univariate
162,mprecrat3,predicted,0.04755915411481229,Prec (Log-normal),univariate
163,mprecrat3,peffect,0.14886374867799765,Prec (Log-normal),univariate
163,mprecrat3,predicted,0.04817881744292794,Prec (Log-normal),univariate
164,mprecrat3,peffect,0.15078485205797584,Prec (Log-normal),univariate
164,mprecrat3,predicted,0.04880057048794341,Prec (Log-normal),univariate
165,mprecrat3,peffect,0.15271228934780917,Prec (Log-normal),univariate
165,mprecrat3,predicted,0.04942437346310855,Prec (Log-normal),univariate
166,mprecrat3,peffect,0.15464593850572866,Prec (Log-normal),univariate
166,mprecrat3,predicted,0.050050186870371244,Prec (Log-normal),univariate
167,mprecrat3,peffect,0.1565856783866491,Prec (Log-normal),univariate
167,mprecrat3,predicted,0.050677971501885404,Prec (Log-normal),univariate
168,mprecrat3,peffect,0.15853138874639017,Prec (Log-normal),univariate
168,mprecrat3,predicted,0.051307688441377154,Prec (Log-normal),univariate
169,mprecrat3,peffect,0.1604829502454745,Prec (Log-normal),univariate
169,mprecrat3,predicted,0.05193929906537407,Prec (Log-normal),univariate
170,mprecrat3,peffect,0.16244024445251848,Prec (Log-normal),univariate
170,mprecrat3,predicted,0.05257276504430256,Prec (Log-normal),univariate
171,mprecrat3,peffect,0.16440315384723123,Prec (Log-normal),univariate
171,mprecrat3,predicted,0.05320804834345847,Prec (Log-normal),univariate
172,mprecrat3,peffect,0.1663715618230334,Prec (Log-normal),univariate
172,mprecrat3,predicted,0.05384511122385463,Prec (Log-normal),univariate
173,mprecrat3,peffect,0.16834535268931408,Prec (Log-normal),univariate
173,mprecrat3,predicted,0.05448391624295134,Prec (Log-normal),univariate
174,mprecrat3,peffect,0.17032441167333448,Prec (Log-normal),univariate
174,mprecrat3,predicted,0.05512442625527241,Prec (Log-normal),univariate
175,mprecrat3,peffect,0.1723086249217953,Prec (Log-normal),univariate
175,mprecrat3,predicted,0.05576660441291249,Prec (Log-normal),univariate
176,mprecrat3,peffect,0.17429787950207806,Prec (Log-normal),univariate
176,mprecrat3,predicted,0.056410414165938796,Prec (Log-normal),univariate
177,mprecrat3,peffect,0.17629206340317435,Prec (Log-normal),univariate
177,mprecrat3,predicted,0.05705581926269185,Prec (Log-normal),univariate
178,mprecrat3,peffect,0.17829106553631222,Prec (Log-normal),univariate
178,mprecrat3,predicted,0.05770278374998819,Prec (Log-normal),univariate
179,mprecrat3,peffect,0.18029477573529504,Prec (Log-normal),univariate
179,mprecrat3,predicted,0.05835127197323011,Prec (Log-normal),univariate
180,mprecrat3,peffect,0.1823030847565597,Prec (Log-normal),univariate
180,mprecrat3,predicted,0.059001248576424414,Prec (Log-normal),univariate
181,mprecrat3,peffect,0.18431588427896867,Prec (Log-normal),univariate
181,mprecrat3,predicted,0.05965267850211516,Prec (Log-normal),univariate
182,mprecrat3,peffect,0.1863330669033432,Prec (Log-normal),univariate
182,mprecrat3,predicted,0.06030552699123259,Prec (Log-normal),univariate
183,mprecrat3,peffect,0.18835452615174988,Prec (Log-normal),univariate
183,mprecrat3,predicted,0.060959759582862184,Prec (Log-normal),univariate
184,mprecrat3,peffect,0.19038015646654993,Prec (Log-normal),univariate
184,mprecrat3,predicted,0.06161534211393704,Prec (Log-normal),univariate
185,mprecrat3,peffect,0.1924098532092192,Prec (Log-normal),univariate
185,mprecrat3,predicted,0.06227224071885589,Prec (Log-normal),univariate
186,mprecrat3,peffect,0.19444351265894963,Prec (Log-normal),univariate
186,mprecrat3,predicted,0.06293042182903057,Prec (Log-normal),univariate
187,mprecrat3,peffect,0.19648103201104122,Prec (Log-normal),univariate
187,mprecrat3,predicted,0.06358985217236547,Prec (Log-normal),univariate
188,mprecrat3,peffect,0.19852230937509086,Prec (Log-normal),univariate
188,mprecrat3,predicted,0.06425049877267149,Prec (Log-normal),univariate
189,mprecrat3,peffect,0.20056724377298904,Prec (Log-normal),univariate
189,mprecrat3,predicted,0.06491232894901759,Prec (Log-normal),univariate
