sp_elev,sp_code,elev_code,year,mean,sd,se,cv,median,sum,min,max,n,iv
pinaster_low-Dec,pinaster,low-Dec,2010,0.43805797397898405,0.073476349831916,0.02121079517726391,16.773202223557984,0.40764303877927616,5.2566956877478095,0.3642998341749502,0.5978378912034753,12,ndvi
pinaster_low-Dec,pinaster,low-Dec,2011,0.5252043438261144,0.06350224056802971,0.017612352651913892,12.090958750534279,0.5202258155909296,6.827656469739488,0.4591841799608868,0.6341565282998533,13,ndvi
pinaster_low-Dec,pinaster,low-Dec,2012,0.45385994178043937,0.10344111777650174,0.029860878596769534,22.79141828880389,0.45520323538578145,5.446319301365272,0.2419495938346179,0.6071557469743268,12,ndvi
pinaster_low-Dec,pinaster,low-Dec,2013,0.5087341633544147,0.08067442779527582,0.020168606948818956,15.857875017344409,0.48677279982442423,8.139746613670635,0.41130664109326304,0.6877619979167195,16,ndvi
pinaster_low-Dec,pinaster,low-Dec,2014,0.5122111593506663,0.07566229602899176,0.014561215659947847,14.771700039669067,0.4829830658061669,13.82970130246799,0.4033923028013616,0.7038200171537905,27,ndvi
pinaster_low-Dec,pinaster,low-Dec,2015,0.49601940815432777,0.09422226174108358,0.021616069324274845,18.995680449618206,0.4859235020650853,9.424368754932228,0.27702023095629147,0.6724398554994747,19,ndvi
pinaster_low-Dec,pinaster,low-Dec,2016,0.4419299631904092,0.09995845151608933,0.020403933474429203,22.618618297447597,0.4340496875617344,10.606319116569821,0.2578739523407655,0.6576499973428284,24,ndvi
pinaster_low-Dec,pinaster,low-Dec,2017,0.4601691818163884,0.07901742846928449,0.016846572354229657,17.171386436046284,0.4504950873908604,10.123721999960546,0.33975662337927726,0.588467781777119,22,ndvi
pinaster_low-Dec,pinaster,low-Dec,2018,0.5180660957556178,0.10757053822668877,0.02535461901199279,20.763863744025425,0.48193911958419944,9.32518972360112,0.34547309197261783,0.7085930815303751,18,ndvi
pinaster_low-Dec,pinaster,low-Dec,2019,0.4978114279344124,0.08703245492366968,0.018147521342357757,17.48301666853987,0.4831371716020894,11.449662842491486,0.33855623950755465,0.6804420699769537,23,ndvi
pinaster_low-Dec,pinaster,low-Dec,2020,0.5007262413975012,0.066973637454631,0.013670936498499828,13.375300097656359,0.49297244787461486,12.017429793540032,0.386949130377926,0.643221738477706,24,ndvi
pinaster_low-Dec,pinaster,low-Dec,2021,0.47353596961422934,0.09130081152039113,0.018260162304078224,19.28064970328869,0.46623454770023337,11.83839924035573,0.29580830482675097,0.6267673806634582,25,ndvi
pinaster_low-Dec,pinaster,low-Dec,2022,0.47177530624391106,0.06592428392421831,0.01648107098105458,13.973661412904686,0.44484648106953817,7.548404899902577,0.392650133433054,0.6175671152172457,16,ndvi
pinaster_medium,pinaster,medium,1986,0.5942493899078959,NA,NA,NA,0.5942493899078959,0.5942493899078959,0.5942493899078959,0.5942493899078959,1,ndvi
pinaster_medium,pinaster,medium,1987,0.6079990104046362,0.07216547457449717,0.020832378085891518,11.869340794892004,0.5943584250006593,7.295988124855633,0.509590250794772,0.7400722683834994,12,ndvi
pinaster_medium,pinaster,medium,1988,0.6287532551921678,0.06402051714683794,0.021340172382279313,10.182136890451748,0.6155183717681935,5.658779296729509,0.5330282257272494,0.752597961676311,9,ndvi
pinaster_medium,pinaster,medium,1989,0.617319293170989,0.04985886277647697,0.02229756128980728,8.076673340365979,0.612281196240609,3.086596465854945,0.5656491805276305,0.6985086073771597,5,ndvi
pinaster_medium,pinaster,medium,1990,0.6287340856541419,0.058688944175503056,0.017695382470205235,9.334461979175574,0.6108196653326974,6.916074942195561,0.5678924206421089,0.7347035106696824,11,ndvi
pinaster_medium,pinaster,medium,1991,0.5589810460609308,0.109034343199056,0.048761640655026216,19.505910614931814,0.5369736559034637,2.7949052303046544,0.4243615297207681,0.7232303402506929,5,ndvi
pinaster_medium,pinaster,medium,1992,0.5578013521388616,0.045568217263602606,0.01611079771683765,8.169255432758192,0.5513473959554576,4.462410817110893,0.49985044750707486,0.6417339290192544,8,ndvi
pinaster_medium,pinaster,medium,1993,0.5358925389471331,0.05154700163867282,0.019482935309566744,9.618906383721464,0.5378820910060765,3.751247772629932,0.4749067349031163,0.633796535792647,7,ndvi
pinaster_medium,pinaster,medium,1994,0.5815651573931429,0.07784334126180696,0.0215898583363759,13.385145288059997,0.5846542070814605,7.560347046110857,0.42520848636736813,0.6817141790971493,13,ndvi
pinaster_medium,pinaster,medium,1995,0.5579417012590914,0.07449331107493402,0.03041176689733457,13.351450681464938,0.5488599582324285,3.347650207554548,0.4674583992627497,0.6690008104244257,6,ndvi
pinaster_medium,pinaster,medium,1996,0.6083233678937756,0.0656509705117015,0.01979451239181823,10.792117149635022,0.5886892215354937,6.691557046831533,0.5415264742341067,0.7254318420179819,11,ndvi
pinaster_medium,pinaster,medium,1997,0.6474242179519455,0.062188141034867174,0.023504907953667067,9.60547030996036,0.6381565784083004,4.5319695256636185,0.5612364540771008,0.7426578891995071,7,ndvi
pinaster_medium,pinaster,medium,1998,0.685656445747672,0.06085347522504029,0.018348013137331524,8.875213760833649,0.7053244861628095,7.5422209032243925,0.5766266857249395,0.7882765078135091,11,ndvi
pinaster_medium,pinaster,medium,1999,0.6431370193731527,0.049725461011977126,0.01283905882545824,7.731705610795521,0.6362185074407766,9.647055290597292,0.5713726691166462,0.7374496518195804,15,ndvi
pinaster_medium,pinaster,medium,2000,0.6538154203069975,0.060882925291805716,0.012176585058361142,9.311943921912745,0.636435622657446,16.345385507674933,0.5588200966394072,0.7661701258810787,25,ndvi
pinaster_medium,pinaster,medium,2001,0.650681761704281,0.06118384265494974,0.014839261520442886,9.403036362152765,0.6453917555912879,11.061589948972776,0.5546555821591648,0.775270625781688,17,ndvi
pinaster_medium,pinaster,medium,2002,0.6560620906072819,0.07311181007383902,0.019539953158799517,11.144038212322753,0.6478235411512474,9.184869268501945,0.5081923911877112,0.7822668744067766,14,ndvi
pinaster_medium,pinaster,medium,2003,0.6892510670895259,0.06476694577300066,0.01952796890421253,9.39671316672596,0.662694920623746,7.581761737984785,0.5749242682170949,0.7913083100757532,11,ndvi
pinaster_medium,pinaster,medium,2004,0.7091911977627205,0.035421130158167814,0.009824053924627534,4.9945811890940766,0.693513847047294,9.219485570915365,0.6742849657220209,0.7883173496076721,13,ndvi
pinaster_medium,pinaster,medium,2005,0.6366079278703738,0.09310202517123024,0.021944357780259185,14.624704012512343,0.640316601567477,11.458942701666729,0.47618620604620415,0.787167396990953,18,ndvi
pinaster_medium,pinaster,medium,2006,0.6246317376408922,0.04596673873574225,0.01453595910148342,7.359014274450628,0.6215480267477398,6.246317376408921,0.5729698831767353,0.7192043037657951,10,ndvi
pinaster_medium,pinaster,medium,2007,0.6337028006081872,0.06827890295669695,0.01762953693657331,10.774593846069049,0.6383055888006384,9.505542009122806,0.5160498538556944,0.7265918327849816,15,ndvi
pinaster_medium,pinaster,medium,2008,0.6225584293790818,0.05908662662684369,0.017056839894257558,9.490936727942893,0.6335658454199191,7.4707011525489815,0.5204675789442805,0.7253818153804672,12,ndvi
pinaster_medium,pinaster,medium,2009,0.6541596142526214,0.054644068046196086,0.012218785071841856,8.353323387079932,0.6486046979385078,13.083192285052426,0.5871751810318363,0.7712270722638046,20,ndvi
pinaster_medium,pinaster,medium,2010,0.6709587879667207,0.03829540734110335,0.010621234983317554,5.707564760743962,0.6661074532747705,8.72246424356737,0.616508937960042,0.7437786216000392,13,ndvi
pinaster_medium,pinaster,medium,2011,0.7190329508475427,0.039072205920553785,0.010836680145541872,5.433993793260568,0.7066326292938798,9.347428361018055,0.6710541600764908,0.8191993112354713,13,ndvi
pinaster_medium,pinaster,medium,2012,0.6805574585668664,0.06174774017357786,0.017825037205533124,9.073111960833941,0.6978883781291829,8.166689502802397,0.5828861223507118,0.7557451283007988,12,ndvi
pinaster_medium,pinaster,medium,2013,0.7153326442560934,0.05450010140101427,0.012845797092003884,7.6188472368252365,0.715265248460426,12.875987596609681,0.5605648752200476,0.8191598265304223,18,ndvi
pinaster_medium,pinaster,medium,2014,0.7206988255102125,0.04962878416530514,0.009378958626564118,6.8862030030603805,0.7197054496833634,20.179567114285955,0.585980115284924,0.8066436544582419,28,ndvi
pinaster_medium,pinaster,medium,2015,0.691130106021301,0.07086125080358491,0.016256685856090365,10.25295384851907,0.6895522388059703,13.13147201440472,0.5691195648123999,0.8055377679875003,19,ndvi
pinaster_medium,pinaster,medium,2016,0.6456394775669292,0.07405045960399569,0.015440588194984246,11.469320290489728,0.6374905491182108,14.849707984039371,0.5277015021805848,0.7903086085544125,23,ndvi
pinaster_medium,pinaster,medium,2017,0.6398011194448834,0.05834889939854458,0.012166586568962726,9.119849532174996,0.6412167984115685,14.715425747232317,0.4986199919458604,0.7385446276293347,23,ndvi
pinaster_medium,pinaster,medium,2018,0.6395697318847074,0.08293851587901069,0.019548795666532205,12.967861320548183,0.652504151289871,11.512255173924734,0.524632274742715,0.7553698933367288,18,ndvi
pinaster_medium,pinaster,medium,2019,0.6203599501332577,0.06107531635462176,0.013021301198450888,9.845141734488557,0.6066672880716368,13.64791890293167,0.5190990916937241,0.7414349307044894,22,ndvi
pinaster_medium,pinaster,medium,2020,0.6312644847572177,0.05054016081196411,0.011028767264574588,8.00617839785517,0.6118222015359555,13.256554179901572,0.5563372698230373,0.7213812773759805,21,ndvi
pinaster_medium,pinaster,medium,2021,0.6278114994430138,0.07418426039221021,0.015142798742222942,11.816327107424046,0.612633671184484,15.067475986632328,0.4708871662360034,0.7690518267392793,24,ndvi
